SID,PC1,PC2,chr
SRR4292202.bam,0.0817255,0.119257,3
SRR4292203.bam,-0.0216245,-0.268011,3
SRR4292204.bam,-0.183814,-0.0457752,3
SRR4292205.bam,-0.046423,-0.145841,3
SRR4292207.bam,0.112861,-0.065709,3
SRR4292208.bam,0.273675,0.155754,3
SRR4292209.bam,-0.185042,-0.0479092,3
SRR4292210.bam,0.278955,0.154524,3
SRR4292211.bam,-0.059454,-0.205588,3
SRR4292212.bam,-0.242062,0.0908913,3
SRR4292213.bam,0.0991765,-0.134315,3
SRR4292214.bam,-0.062529,0.143994,3
SRR4292215.bam,0.13148,-0.0885033,3
SRR4292216.bam,0.234311,0.0963959,3
SRR4292217.bam,0.0339003,0.147913,3
SRR4292218.bam,-0.0856525,0.155397,3
SRR4292219.bam,0.181489,-0.00884091,3
SRR4292220.bam,0.046872,0.0773498,3
SRR4292221.bam,-0.0661887,0.142628,3
SRR4292222.bam,-0.0248307,-0.304267,3
SRR4292223.bam,0.237135,0.100979,3
SRR4292224.bam,-0.0801483,0.161178,3
SRR4292225.bam,0.0371612,-0.196152,3
SRR4292226.bam,-0.238226,0.0879362,3
SRR4292227.bam,-0.144378,0.0307584,3
SRR4292228.bam,-0.0763483,-0.216373,3
SRR4292229.bam,-0.179495,-0.043275,3
SRR4292230.bam,0.00499549,0.11272,3
SRR4292182.bam,0.114976,0.0415956,4
SRR4292183.bam,-0.151093,-0.0425925,4
SRR4292184.bam,-0.337956,0.0243736,4
SRR4292185.bam,0.116491,0.0411444,4
SRR4292186.bam,0.119927,-0.0814392,4
SRR4292187.bam,0.151251,-0.0512315,4
SRR4292188.bam,0.134941,-0.109373,4
SRR4292189.bam,0.106718,-0.068759,4
SRR4292190.bam,0.170351,-0.0431508,4
SRR4292191.bam,-0.143159,-0.0915683,4
SRR4292192.bam,-0.151981,-0.0798242,4
SRR4292193.bam,0.158642,-0.0558424,4
SRR4292194.bam,0.131545,0.0768675,4
SRR4292195.bam,-0.137881,-0.0963341,4
SRR4292196.bam,0.106758,-0.069409,4
SRR4292197.bam,-0.141521,-0.0496175,4
SRR4292198.bam,0.13013,-0.110939,4
SRR4292199.bam,-0.149576,-0.0569535,4
SRR4292200.bam,0.0781322,0.486247,4
SRR4292201.bam,0.113734,0.074711,4
SRR4292202.bam,0.121609,-0.0685045,4
SRR4292203.bam,-0.157794,0.0695164,4
SRR4292204.bam,-0.150859,-0.048308,4
SRR4292205.bam,-0.151826,-0.0504424,4
SRR4292207.bam,0.11433,-0.0679019,4
SRR4292208.bam,0.127274,0.0794987,4
SRR4292209.bam,-0.151059,-0.0483534,4
SRR4292210.bam,-0.152009,-0.0577781,4
SRR4292211.bam,0.0959984,0.0503458,4
SRR4292212.bam,-0.149689,-0.0446962,4
SRR4292213.bam,-0.151585,-0.0810436,4
SRR4292214.bam,0.131759,-0.114918,4
SRR4292215.bam,0.129831,-0.109822,4
SRR4292216.bam,-0.150098,-0.0838755,4
SRR4292217.bam,0.0796994,0.529832,4
SRR4292218.bam,0.155195,-0.0741274,4
SRR4292219.bam,-0.139686,-0.098002,4
SRR4292220.bam,-0.147745,-0.0789521,4
SRR4292221.bam,0.127787,-0.117473,4
SRR4292222.bam,0.131421,-0.10954,4
SRR4292223.bam,-0.150078,-0.0813889,4
SRR4292224.bam,0.154553,-0.0463052,4
SRR4292225.bam,0.131154,-0.104505,4
SRR4292226.bam,0.113906,0.0417483,4
SRR4292227.bam,-0.175549,0.284306,4
SRR4292228.bam,-0.181228,0.299765,4
