SID,PC1,PC2,chr
SRR4292188.bam,-0.130794,-0.137478,13
SRR4292189.bam,0.125509,0.00929247,13
SRR4292190.bam,0.114667,-0.202562,13
SRR4292191.bam,-0.149371,-0.114995,13
SRR4292192.bam,0.13562,-0.0799648,13
SRR4292193.bam,0.115771,-0.250003,13
SRR4292194.bam,0.125099,0.113395,13
SRR4292195.bam,-0.140073,-0.109474,13
SRR4292196.bam,0.126567,-0.0237968,13
SRR4292197.bam,-0.132209,-0.126549,13
SRR4292198.bam,-0.332988,-0.184536,13
SRR4292199.bam,0.0713205,0.315101,13
SRR4292200.bam,0.129401,0.119302,13
SRR4292201.bam,-0.118125,-0.0183453,13
SRR4292202.bam,0.120741,0.163983,13
SRR4292203.bam,0.134167,0.124951,13
SRR4292204.bam,0.106631,0.0402297,13
SRR4292205.bam,0.067991,0.333236,13
SRR4292207.bam,-0.160808,0.194571,13
SRR4292208.bam,0.141407,0.0879539,13
SRR4292209.bam,-0.135511,0.0775714,13
SRR4292210.bam,-0.18454,0.355573,13
SRR4292211.bam,0.116183,0.0804882,13
SRR4292212.bam,-0.139754,0.117023,13
SRR4292213.bam,0.124029,-0.0800476,13
SRR4292214.bam,0.109863,-0.167799,13
SRR4292215.bam,-0.147655,-0.167982,13
SRR4292216.bam,0.126251,-0.0798296,13
SRR4292217.bam,-0.109517,0.0579724,13
SRR4292218.bam,-0.130105,-0.130591,13
SRR4292219.bam,0.0976826,0.0547909,13
SRR4292220.bam,0.121049,-0.0815089,13
SRR4292221.bam,0.113582,-0.207111,13
SRR4292222.bam,0.108565,0.000106664,13
SRR4292223.bam,0.125301,-0.0858007,13
SRR4292224.bam,0.117714,-0.22102,13
SRR4292225.bam,-0.13641,-0.112679,13
SRR4292226.bam,-0.28809,0.0213835,13
SRR4292227.bam,-0.107041,0.0563845,13
SRR4292228.bam,0.130154,0.0766888,13
SRR4292229.bam,-0.135511,0.115166,13
SRR4292230.bam,-0.11235,0.0590855,13
SRR4292182.bam,-0.149836,0.0678036,14
SRR4292183.bam,0.109733,0.181944,14
SRR4292184.bam,-0.141042,0.0430766,14
SRR4292185.bam,-0.140083,0.0744225,14
SRR4292186.bam,-0.0641422,-0.318762,14
SRR4292187.bam,0.133814,-0.0572272,14
SRR4292188.bam,-0.0562881,0.162576,14
SRR4292189.bam,-0.0828623,-0.207985,14
SRR4292190.bam,0.258589,-0.0669186,14
SRR4292191.bam,0.0961846,0.00357886,14
SRR4292192.bam,-0.0531535,-0.333869,14
SRR4292193.bam,0.264837,-0.0619182,14
SRR4292194.bam,-0.0979377,0.0560956,14
SRR4292195.bam,0.128464,0.241354,14
SRR4292196.bam,-0.0509838,-0.222232,14
SRR4292197.bam,0.226218,-0.0638242,14
SRR4292198.bam,-0.070943,-0.122641,14
SRR4292199.bam,0.1269,0.176257,14
SRR4292200.bam,-0.107835,0.0542852,14
SRR4292201.bam,-0.15084,0.0668785,14
SRR4292202.bam,0.113184,0.112887,14
SRR4292203.bam,-0.110587,0.0492903,14
SRR4292204.bam,-0.153933,0.0672461,14
SRR4292205.bam,0.245513,0.248521,14
SRR4292207.bam,-0.00530715,0.182543,14
SRR4292208.bam,-0.114668,0.0318541,14
SRR4292209.bam,-0.153371,0.0677298,14
SRR4292210.bam,0.176079,0.00550346,14
SRR4292211.bam,-0.132004,0.0668154,14
SRR4292212.bam,-0.149652,0.0681997,14
SRR4292213.bam,-0.051923,-0.236788,14
SRR4292214.bam,0.286707,-0.109023,14
SRR4292215.bam,0.11165,0.062563,14
SRR4292216.bam,-0.0661009,-0.24157,14
SRR4292217.bam,-0.149751,0.0575604,14
SRR4292218.bam,0.250284,-0.062045,14
SRR4292219.bam,-0.0746142,-0.13845,14
SRR4292220.bam,-0.0730844,-0.181939,14
SRR4292221.bam,0.295578,-0.0934513,14
SRR4292222.bam,-0.0772635,0.184457,14
SRR4292223.bam,-0.0857537,-0.268228,14
SRR4292224.bam,0.136028,-0.0699338,14
SRR4292225.bam,-0.0732579,0.186391,14
SRR4292226.bam,-0.154938,0.0739363,14
SRR4292227.bam,0.0821431,0.0724301,14
SRR4292228.bam,-0.118356,0.0478211,14
SRR4292229.bam,-0.15277,0.0749693,14
SRR4292230.bam,0.0506274,0.00341895,14
